Work Order,Activity Code,Name,Scion,Rootstock,Bin Number,Piece Row Position,Internal ID,Tray Type,Scion Material Type,Budwood Source,Rootstock Material Type,Rootstock Source,Label Color,Quantity,Crop,Scion Patent,Rootstock Patent,Lot Number,Labels Needed,Scion Label Color,Rootstock Label Color,Last Updated,SCRIPT_VERSION
WO314,Pre-Ship Sorting - 100mm,Almond | Sonora | Krymsk® 86 | 100mm 8 | Pre-ship,Sonora,Krymsk® 86,- None -,,15229,100mm 8,,,,,Tan,1,Almond,,,2026,.13,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO3628,Pre-Ship Sorting - 100mm,Peach (Freestone) | Redhaven | Krymsk® 86 | 100mm 8 | Pre-ship,Redhaven,Krymsk® 86,High Tunnels #06-B,,15024,100mm 8,,,,,Red,1,Peach (Freestone),,,2026,.13,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO3626,Pre-Ship Sorting - 100mm,Prune | French Prune | Krymsk® 86 | 100mm 8 | Pre-ship,French Prune,Krymsk® 86,Shadehouse #03-E,,14446,100mm 8,,,,,Dark Blue,1,Prune,,,2026,.13,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO3421,Pre-Ship Sorting - 100mm,Peach (Freestone) | Redhaven | Krymsk® 1 | 100mm 8 | Pre-ship,Redhaven,Krymsk® 1,Can Yard #06,,15020,100mm 8,,,,,Lavender,1,Peach (Freestone),,,2026,.13,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO297,Pre-Ship Sorting - 100mm,Nectarine | Independence Nectarine | Krymsk® 86 | 100mm 8 | Pre-ship,Independence Nectarine,Krymsk® 86,- None -,,14602,100mm 8,,,,,Gold,1,Nectarine,,,2026,.13,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO4747,Potting Up - 120mm,Pistachio Rootstock | | RSCH Rootstock | 120mm 6 |,,RSCH Rootstock,FourBays #06,,36284,120mm 6,,,Seed,,,1,Pistachio Rootstock,,,| B4.7/D8.6,.17,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO1128,Pre-Ship Sorting - 100mm,Orange | Moro Blood | Carrizo | 100mm 8 | Pre-Ship,Moro Blood,Carrizo,- None -,,29385,100mm 8,,,,,Red,1,Orange,,,2026,.13,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO4746,Potting Up - 120mm,Pistachio Rootstock | | RSCH Rootstock | 120mm 6 |,,RSCH Rootstock,FourBays #06,,36284,120mm 6,,,Seed,,,1,Pistachio Rootstock,,,| A4.8/P. lentiscus,.17,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO4996,- None -,Kiwi | RSCH Own Rooted | | Oversize |,RSCH Own Rooted,,Shadehouse #03-E,,37417,Oversize,,,,,- None -,1,Kiwi,,,Kiwi WRG |,0,Dark Green,Dark Green,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
WO3954,Pre-Ship Sorting - 100mm,Plumcot | Flavor Supreme | Krymsk® 86 | 100mm 8 | Pre-ship,Flavor Supreme,Krymsk® 86,Can Yard #06,,14434,100mm 8,,,,,Yellow,1,Plumcot,,,2026,.13,,,05/08/2026 16:41:56,vFIXOVERWRITE-2025-12-29-TIMEOUT2M-DUMP-FILTERS-TASK1015
